"names","importance"
"pcr",0.17133879963084
"precipitation",0.00670159752710281
"temperature",0.00815221419341503
"referencePotET",0.00841789797175362
"desalinationAbstraction",0.00112298103046397
"surfaceWaterInf",0.0019097392615528
"snowCoverSWE",0.00365907604040648
"directRunoff",0.0115969290212449
"snowFreeWater",0.0041296845420973
"industryWaterWithdrawal",0.00223124664495542
"interflowTotal",0.0150828819468789
"totalGroundwaterAbstraction",0.00423145088666953
"domesticWaterWithdrawal",0.0033387918423234
"surfaceWaterAbstraction",0.00372624886671644
"storUppTotal",0.00861185689744276
"totalEvaporation",0.0178959968911089
"livestockWaterWithdrawal",0.00395216258297087
"fossilGroundwaterAbstraction",0.00301904250416923
"storGroundwater",0.00402193443621288
"gwRecharge",0.0647062492012785
"baseflow",0.00544015331032147
"irrigationWaterWithdrawal",0.00338136182284339
"surfaceWaterStorage",0.00869893375084839
"storLowTotal",0.0302872324014329
"nonIrrWaterConsumption",0.00306768639894456
"airEntry1",0.00933531163528666
"airEntry2",0.0119583995511898
"aqThick",0.00895888425231599
"area_pcr",0.00757406518031804
"aridityIdx",0.105352127000572
"bankArea",0.00819573294953737
"bankDepth",0.0372316689273401
"bankWidth",0.0233623847924493
"demAverage",0.00736364895802975
"forestFraction",0.0238217113148395
"groundwaterDepth",0.0152534366452504
"KSat1",0.00418495178984688
"KSat2",0.00393486937942238
"kSatAquifer",0.00648689841733586
"percolationImp",0.00351498454626571
"poreSize1",0.00452289291810082
"poreSize2",0.00393587708126586
"recessionCoeff",0.00861594004566936
"resWC1",0.00363616636649261
"resWC2",0.00372698580279917
"satWC1",0.00849327395898883
"satWC2",0.00446220780299476
"slopeLength",0.00665998915307687
"specificYield",0.00480538180604292
"storage2",0.00351159588720723
"storDepth1",0.00369954062648433
"tanSlope",0.0188425506438289
