"names","importance"
"precipitation",0.0924068512389045
"temperature",0.0666669252977711
"referencePotET",0.0915875109733807
"airEntry1",0.0110823474357025
"airEntry2",0.010914585659126
"aqThick",0.0148350971126765
"area_pcr",0.00743258298689891
"aridityIdx",0.158468216594505
"bankArea",0.0150851807953047
"bankDepth",0.055738358468998
"bankWidth",0.0403115676211492
"demAverage",0.00847455484163309
"forestFraction",0.013959289801234
"groundwaterDepth",0.0225405525618847
"KSat1",0.00530239231546184
"KSat2",0.00595572234890583
"kSatAquifer",0.0089541059491469
"percolationImp",0.00674857294465318
"poreSize1",0.00742390047726804
"poreSize2",0.00512890861156794
"recessionCoeff",0.00683937647956645
"resWC1",0.00499028653596392
"resWC2",0.00601782812141664
"satWC1",0.00989185052719001
"satWC2",0.00609382784561933
"slopeLength",0.00981225174609857
"specificYield",0.00796384163729245
"storage2",0.00558235670885934
"storDepth1",0.00595231256989293
"tanSlope",0.0202557154067995
