"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
4358220,0.363330839184499,0.466084544040189,0.877261374033956,0.806719200667355,1.60025810846964,0.62384410845315,1.37523644010454,0.701386495403883,0.0433081886227987,0.314708234514316,0.00129406482777233,0.0010952361292349,0.000935927269331817,0.000833221551603699,NA,NA,NA,NA
4362201,-9.73263858864531,-6.93078996809038,0.356065836090646,0.418879299993556,10.2462740358754,7.59591499869624,5.11759037785759,4.77325396872697,-278.141111882798,-176.273425964928,0.00213121151398392,0.00169838627174003,0.00167649051130292,0.00140331983063071,NA,NA,NA,NA
4362600,0.929870695957934,0.286531667847517,0.935454983871083,0.818807144854167,1.00906451004572,0.370567419574423,0.944381319694281,0.685012092119489,0.868344547088302,0.227160190648653,0.000847537647517779,0.00205345086372433,0.000579523873366288,0.00142301010637272,NA,NA,NA,NA
4462300,0.231407931651051,0.332492608972878,0.944082849577051,0.875856407574589,1.44445060389302,0.375633326399769,1.4261142263452,0.745221630610945,-0.456344136972317,0.365863153450213,0.0030288894086638,0.00199867833564729,0.00254820279690978,0.00166997467623563,NA,NA,NA,NA
4664800,0.182216972101071,0.437498490202852,0.882009069663535,0.866042433606246,0.330188192033895,0.50609279546162,0.477065988421165,0.606007350604831,0.0462382124197728,0.456327368323742,0.0012568109287557,0.000948896238206939,0.000838054417413571,0.000598689845751906,NA,NA,NA,NA
4772300,0.297081599383034,0.273958448579617,0.755248409926773,0.806388293730293,0.38409875060897,0.339672646831949,0.872703822159491,0.682383363503375,0.398844336616331,0.36489745611139,0.0021721957192246,0.00223268476127319,0.00180187080956733,0.0015847327844386,NA,NA,NA,NA
5101200,0.403565929597836,-0.011981218690772,0.953526033567623,0.754438260335832,0.49700923506949,0.206936444128961,1.30052886883072,0.389913000102205,0.678170933892844,0.245581672400684,0.0003496410481114,0.000535322991439766,0.00018614743230115,0.000156192090078917,NA,NA,NA,NA
5101201,-32.9050771278229,-8.89146558632445,0.254569199144591,0.302149733616128,3.65086782534281,1.52054403861763,37.5497546321952,11.2612134611652,-15.8507053205758,-1.89609102219258,0.000344096593652232,0.0001426518588295,0.000230507972818232,7.45707808121029e-05,NA,NA,NA,NA
5110400,0.176441877188409,-1.88197619345461,0.674782250014198,0.271925852210066,0.278056183838423,1.79690976560033,0.792805100130053,3.6363774121329,0.291170882206413,-2.9177623494519,7.38882206238809e-05,0.000173709462861372,2.57778890643059e-05,9.17270011197363e-05,NA,NA,NA,NA
5202102,0.304616406334373,-1.28619784400525,0.852396838395562,0.709911679510761,0.711256197212671,0.54632406905683,1.5661724856742,3.18204214013668,0.662429380104768,-0.210683793019361,0.000148498947642264,0.000281226615153029,8.53470076827888e-05,0.00024787021965843,NA,NA,NA,NA
5202103,0.0597957429531218,-1.61483981091609,0.885881594290229,0.715310134356063,0.901450677835679,0.655635107642896,1.84520663784157,3.54982795612402,0.632043149245471,-0.571443807111207,0.000129177135731599,0.000266954122492991,9.14367494050527e-05,0.000245420878760686,NA,NA,NA,NA
5202135,0.691997624148054,-0.263027853026061,0.892184687415469,0.587695723444177,0.730003300716304,0.362416157756707,1.15145777131708,2.02499532573572,0.786777275990717,0.212766297476229,0.00023459445398276,0.000450767749319069,0.000102820701983955,0.000275330985408464,NA,NA,NA,NA
5204101,-6.58375803651007,0.0622560018471134,0.755017255470959,0.312805896726615,5.2533275013876,0.626969910546997,7.67873919023062,1.49692510961618,-32.7862347027198,-0.101047233516875,0.000468223371592854,8.45251919366476e-05,0.000339776850322536,6.26536137830198e-05,NA,NA,NA,NA
5204104,0.558846096205169,-0.0360715947012207,0.58819545323676,0.238476175870696,1.00196838724984,0.619974884182496,1.14272306997392,1.58429832819026,0.206500376135489,-0.324345050967103,0.000249974353826779,0.000322940615204224,0.00017277390017616,0.000238952031928763,NA,NA,NA,NA
5204181,-1.78178506426773,-2.45254557729166,0.65019453247128,0.556381737157068,1.58314881159557,1.26045687018352,3.57920117646023,4.3358926974681,-1.7671931557416,-2.39892821809068,0.00019824536073729,0.000219712260285614,0.000145547339097022,0.000185318956928918,NA,NA,NA,NA
5204243,-0.0508144711559864,-0.711551953399394,0.746295393116175,0.666938243526168,0.965284245232055,1.39009631558406,1.98439587550047,2.60111964474553,0.398079106271093,-0.372051119978786,6.26103321926211e-05,9.45282123715316e-05,3.91203379082474e-05,5.36590344439751e-05,NA,NA,NA,NA
5204268,-9.15926113814122,0.168460127529202,0.531572638052758,0.437044108753664,5.48475829345359,0.494258830609407,9.52564201540437,1.21346468306241,-69.6056967124735,0.169930105123811,0.000163417457070628,1.77188653685081e-05,0.000120987122906155,1.23735755917987e-05,NA,NA,NA,NA
5204300,-26.1089795474265,-5.30151742295992,0.505333718294129,0.124464737434662,16.1394513996043,2.57916509339299,24.9878715680519,7.09078048093304,-377.864619519913,-17.5739271913347,0.000302589670077259,6.6998324515332e-05,0.00020731348407044,5.43387906648366e-05,NA,NA,NA,NA
5204301,-1.10362162219129,0.126131882756263,0.733624318657607,0.392616222519198,1.95343707515164,0.383301284642393,2.93046405218469,1.00272833803117,-2.19333186196159,0.153710790435239,0.000368052780405581,0.000189473063701836,0.000264643265148545,0.000101633236136119,NA,NA,NA,NA
5204451,-1.01546814782661,-0.686870920671855,0.568902773398461,0.214606704946239,1.1012434896952,1.05437485620167,2.85484470954526,2.38530521912534,-0.470585053435634,-1.07635943051112,0.000108123529588387,0.000128477302000552,7.75560702897707e-05,7.54831544792579e-05,NA,NA,NA,NA
5230300,0.458730072450424,0.388654716182005,0.459251977674133,0.595443524864036,1.04414041714043,0.601321644691368,1.11856477332519,0.754495592832636,-0.0888798207104207,-0.00997533506572545,0.002205225676709,0.00212382363613224,0.0017232597534023,0.00165686471872807,NA,NA,NA,NA
5304140,-2.17675358552435,-0.282156170641615,0.683783814867024,0.713223471127372,2.80375687074118,0.0938850258236056,3.18325055484908,0.125083402906941,-8.38478814526969,-0.362607348110549,0.000472519132646049,0.000180049750884317,0.000332804174529667,0.000108198097698225,NA,NA,NA,NA
