"names","importance"
"pcr",0.243362798886395
"precipitation",0.0132496873703712
"temperature",0.0223007698602899
"referencePotET",0.0198827063311142
"desalinationAbstraction",0.00471199532018663
"surfaceWaterInf",0.0397166813093051
"snowCoverSWE",0.0247039741367361
"directRunoff",0.0184612952710035
"snowFreeWater",0.033439803271606
"industryWaterWithdrawal",0.00794133437045505
"interflowTotal",0.0278864356085935
"totalGroundwaterAbstraction",0.0100469069157561
"domesticWaterWithdrawal",0.00650304794455437
"surfaceWaterAbstraction",0.00756106571101927
"storUppTotal",0.0181686894660495
"totalEvaporation",0.0584411125544855
"livestockWaterWithdrawal",0.0113588357098465
"fossilGroundwaterAbstraction",0.0290828018594657
"storGroundwater",0.0105069541400415
"gwRecharge",0.0795614289372553
"baseflow",0.0133499217580986
"irrigationWaterWithdrawal",0.0478470830485055
"surfaceWaterStorage",0.0196399818144214
"storLowTotal",0.035091539123344
"nonIrrWaterConsumption",0.00613115981846109
