"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1259101,1,1591,"FISH","SEEHEIM (64812008)",NA,-26.8,17.78333333,46400,700,1961,2019,59,3.642800578,NA,NA,NA,NA,1961,2019,59,"9.653","0.304417008","6.560711379",4.67
1259102,1,1591,"FISH","TSES (64812009)",NA,-25.9,17.96666667,37600,930,1975,2019,45,0.024595708,NA,NA,NA,NA,1975,2019,45,"7.24","0.22832064","6.072357447",0.61
1259103,1,1591,"FISH","GRASS (64812001)",NA,-24.167,17.35,9170,1210,1970,2020,51,18.94244369,NA,NA,NA,NA,1970,2020,51,"3.929","0.123904944","13.51198953",25.2
1259104,1,1591,"FISH","DIRICHAS (64812003)",NA,-24.26666667,17.06666667,2830,1270,1976,2020,45,3.972517177,NA,NA,NA,NA,1976,2020,45,"1.389","0.043803504","15.47826996",7.72
1259110,1,1591,"LOWENRIVIER","ALTDORN (64812011)",NA,-26.8,18.21666667,7000,800,1975,2019,45,5.669202944,NA,NA,NA,NA,1975,2019,45,"2.237","0.070546032","10.07800457",8.74
1259111,1,1591,"LOWENRIVIER","AIKANES (648120210)",NA,-26.867,18.1,8030,760,1970,1981,12,0.484076433,NA,NA,NA,NA,1970,1981,12,"3.229","0.101829744","12.68116364",94.92
1259112,1,1591,"LOWENRIVIER","GEDULD (64812012)",NA,-26.76666667,18.46666667,3200,850,1976,2019,44,4.1851736,NA,NA,NA,NA,1976,2019,44,"0.694","0.021885984","6.83937",6.5
1259150,1,1591,"ORANGE RIVER","SEAKA BRIDGE (66819303)","LS",-30.363333,27.575,19756,1400,1975,1989,15,18.72777558,1972,1984,13,0,1972,1989,18,"111.387","3.512700432","177.8042332",73.98
1259151,1,1591,"ORANGE RIVER","WHITEHALL (66819304)","LS",-30.063333,28.508333,10774,-999,1980,1990,11,0,NA,NA,NA,NA,1980,1990,11,"70.787","2.232338832","207.1968472",75.61
1259152,1,1591,"ORANGE RIVER","KOMA-KOMA (66819305)","LS",-29.59,28.713333,7952,-999,1980,1990,11,25.02738226,NA,NA,NA,NA,1980,1990,11,"38.753","1.222114608","153.6864447",84.35
1259201,1,1591,"HUDUP","BRECKHORN (64812007)",NA,-24.81666667,17.16666667,4780,1290,1978,2017,40,7.314372708,NA,NA,NA,NA,1978,2017,40,"0.453","0.014285808","2.988662762",14.43
1259220,1,1591,"MOHOKARE","MOHLOKAQALA (66818039)","LS",-29,27.7,5630,1510,1984,1991,8,37.37081439,1970,1984,15,0.555555556,1970,1991,22,"15.492","0.488555712","86.7772135",76.22
1259320,1,1591,"MADIBAMATSO RIVER","PARAY (66819308)","LS",-29.483333,28.656667,3236,-999,1980,1989,10,2.007909948,NA,NA,NA,NA,1980,1989,10,"22.699","0.715835664","221.2100321",79.27
1259350,1,1591,"AUOB","GOCHAS",NA,-25.01666667,18.88333333,19600,1070,1973,2020,48,5.249748178,NA,NA,NA,NA,1973,2020,48,"0.158","0.004982688","0.254218776",6.3
1259400,1,1591,"KONKIEP","BETHANIEN (64812013)",NA,-26.43333333,17.11666667,4140,1030,1973,2019,47,11.73818863,NA,NA,NA,NA,1973,2019,47,"0.21","0.00662256","1.599652174",15.24
1259440,1,1591,"WIT-NOSSOB","AMASIB (64813203)",NA,-23.06666667,18.63333333,9250,1280,1973,2019,47,12.50224323,NA,NA,NA,NA,1973,2019,47,"0.021","0.000662256","0.071595243",17.07
1259450,1,1591,"SWART-NOSSOB","MENTZ (64813202)",NA,-23.11666667,18.68333333,8160,1260,1973,2019,47,13.48735004,NA,NA,NA,NA,1973,2019,47,"0.04","0.00126144","0.154588235",18.09
1259451,1,1591,"SWART-NOSSOB","HENOPSRUS (64813201)",NA,-22.13333333,18.81666667,4530,1510,1970,2020,51,5.470375643,NA,NA,NA,NA,1970,2020,51,"0.152","0.004793472","1.058161589",9.55
1269400,1,1691,"SIMIYU","NDAGALU","TZ",-2.64,33.54,6093,-999,NA,NA,NA,NA,1971,1979,9,4.62962963,1971,1979,9,"14.038","0.442702368","72.65753619",97.97
1269600,1,1691,"GURUMETI","MUSOMA ROAD (55116003)","TZ",-2.061111,33.944444,13233,-999,NA,NA,NA,NA,1970,1979,10,7.5,1970,1979,10,"11.377","0.358785072","27.11290501",97.56
1271500,1,1711,"MARA","MARA MINES","TZ",-1.65,34.56,15000,-999,NA,NA,NA,NA,1970,1979,10,12.5,1970,1979,10,"26.657","0.840655152","56.0436768",98.98
1286400,1,1861,"LITTLE RUAHA","IHIMBU (55232321)","TZ",-7.883333,35.8,2843,1550,1957,1987,31,4.589481307,1978,1980,3,5.555555556,1957,1987,31,"18.325","0.5778972","203.2702075",82.11
1286401,1,1861,"LITTLE RUAHA","IRINGA NDIUKA (55232302)","TZ",-7.783333,35.716667,3281,-999,1954,1985,32,6.873254662,NA,NA,NA,NA,1954,1985,32,"20.297","0.640086192","195.088751",88.62
1286600,1,1861,"LUKOSE","MTANDIKA (55232437)","TZ",-7.566667,36.433333,3363,1210,1957,1987,31,3.307981307,1978,1980,3,0,1957,1987,31,"26.594","0.838668384","249.3810241",82.11
1286660,1,1861,"GREAT RUAHA RIVER","MTERA","TZ",-7.92,36.98,67950,680,1954,1979,26,4.247440645,1955,1979,25,3,1954,1979,26,"123.665","3.89989944","57.39366358",97.56
