"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
2998560,2,2982,"KULU","KULU","RU",61.9,147.42,10300,-999,NA,NA,NA,NA,1942,1994,53,0,1942,1994,53,"95.194","3.002037984","291.4599984",60.98
2998702,2,2982,"ANYUY","OSTROVNOYE","RU",68.1,164.17,30000,3,1960,1997,38,4.996722267,1960,1988,29,11.0787172,1960,1997,38,"174.39","5.49956304","183.318768",57.32
2998710,2,2982,"POGYNDEN","USTE INKULIVEMA","RU",68.47,163.93,12000,94,NA,NA,NA,NA,1960,1988,29,36.04651163,1960,1988,29,"74.748","2.357252928","196.437744",82.93
2998720,2,2982,"BOL'SHOY ANYUY","KONSTANTINOVO","RU",68.15,161.1667,49600,-999,1978,2011,34,2.182315993,1978,2015,38,29.38596491,1978,2015,38,"259.777","8.192327472","165.1678926",11.38
2998735,2,2982,"OLOY","UTUCHAN","RU",65.67,162.43,15700,-999,NA,NA,NA,NA,1975,1988,14,14.28571429,1975,1988,14,"113.341","3.574321776","227.6638074",80.49
2998740,2,2982,"BEREZOVKA","BEREZOVKA","RU",67.13,156.58,15400,40,NA,NA,NA,NA,1965,1998,34,17.07920792,1965,1998,34,"72.069","2.272767984","147.5823366",56.3
2999100,2,2996,"YANA","DZANGHKY","RU",69.77,135.23,216000,36.2,NA,NA,NA,NA,1938,1989,52,7.371794872,1938,1989,52,"945.667","29.82255451","138.067382",80.49
2999110,2,2996,"YANA","UBILEYNAYA","RU",70.75,136.08,224000,-999,1972,2007,36,0.722488402,1978,1999,22,6.818181818,1972,2007,36,"1106.868","34.90618925","155.831202",29.27
2999111,2,2996,"YANA","DJAHGKY","RU",69.77,135.23,216000,-999,NA,NA,NA,NA,1938,1989,52,2.884615385,1938,1989,52,"954.885","30.11325336","139.41321",73.98
2999112,2,2996,"YANA","VERHOYANSK","RU",67.34,133.38,45300,125,NA,NA,NA,NA,1926,2015,90,19.55307263,1926,2015,90,"179.75","5.668596","125.1345695",17.48
2999140,2,2994,"OMOLOY","NAMY","RU",69.51,132.07,10800,-999,1979,1993,15,1.624384012,1979,1993,15,0,1979,1993,15,"36.079","1.137787344","105.35068",63.41
2999150,2,2991,"ANABAR","SASKYLAKH","RU",71.97,114.08,78800,3,1954,2011,58,3.192244029,1966,2015,50,31.21869783,1954,2015,62,"467.564","14.7450983","187.1205369",15.65
2999151,2,2991,"MALAYA KUONAMKA","DJALINDA","RU",70.13,113.97,20300,31,NA,NA,NA,NA,1943,1999,57,35.44117647,1943,1999,57,"117.411","3.702673296","182.3976993",59.35
2999460,2,2996,"SARTANG","BALA","RU",67.1,133.91,16700,136,NA,NA,NA,NA,1957,1994,38,30.53097345,1957,1994,38,"41.9","1.3213584","79.12325749",69.11
2999461,2,2996,"DULGALAKH","TOMTOR","RU",67.12,132.13,23900,145,NA,NA,NA,NA,1956,1999,44,24.04580153,1956,1999,44,"93.467","2.947575312","123.329511",54.07
2999470,2,2996,"ADYCHA","YURDUK-KUMAH","RU",68.02,135.27,89600,108,NA,NA,NA,NA,1937,1999,63,11.11111111,1937,1999,63,"548.524","17.29825286","193.0608579",52.24
2999471,2,2996,"ADYCHA","OIUN-HOMOTO","RU",67.33,135.6,65500,-999,NA,NA,NA,NA,1942,1999,58,28.9017341,1942,1999,58,"362.804","11.44138694","174.6776633",65.65
2999472,2,2996,"ADYCHA","UST'-CHARKY","RU",66.8,136.68,52800,259,NA,NA,NA,NA,1943,2015,73,41.28440367,1943,2015,73,"310.217","9.783003312","185.2841536",30.69
