grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,miss,airEntry1,airEntry2,aqThick,area_pcr,aridityIdx,bankArea,bankDepth,bankWidth,demAverage,forestFraction,groundwaterDepth,KSat1,KSat2,kSatAquifer,percolationImp,poreSize1,poreSize2,recessionCoeff,resWC1,resWC2,satWC1,satWC2,slopeLength,specificYield,storage2,storDepth1,tanSlope
1104150,1,1041,"CHELIF, OUED",SIDI BELATAR,DZ,36.02,0.27,43750.0,2.0,1978.0,2001.0,24.0,58.35019641,1976.0,1977.0,2.0,0.0,1976,2001,26,15.027,0.473891472,10.83180507,77.44,0.51354641488369,0.525281835065646,-0.352900959341185,0.034084503564632,-0.936128605176123,-0.0683569457460099,-0.132033421727382,0.378077641734805,0.0506355112952991,-0.173546232163661,-0.706078280257251,-0.68764651705479,-0.667201462280875,0.646797319210144,0.4057746322307,-0.52841038603,-0.3144870129191,-0.293769087500292,0.0744558656591235,-0.0632100602642912,-0.240588924649288,-0.230274279370159,0.28299881895095,0.903684092055333,-0.392583009157561,-0.33020565562284,0.399653969225875
1112100,1,1121,SENEGAL FLEUVE,KAYES,ML,14.45,-11.28,157400.0,20.0,1981.0,1990.0,10.0,70.01642935,1951.0,1990.0,40.0,0.0,1951,1990,40,200.748,6.330788928,40.22102241,70.73,0.279197185001674,-0.620100552532669,-0.17328583998889,0.401824604937944,-0.747552272002491,2.3733259005466,1.46755148879125,2.69790807678328,-0.413779237206906,1.30047083892632,-0.445063899021983,0.399186498027273,-0.115004969648216,-0.431366014939128,0.262556141428176,-0.79104243333629,-0.179001518925788,-0.445314676194995,-0.300798102513722,-0.404855518582535,-0.209140208582619,-0.568893502163378,0.209632407033371,-0.389153772532221,-0.543504469269841,-0.360499014755385,-0.430449749558805
1112110,1,1121,KOLINBINE,KABATE,ML,14.31,-11.13,25000.0,-999.0,1981.0,1990.0,10.0,70.8652793,1981.0,1990.0,10.0,70.83333333,1981,1990,10,5.757,0.181552752,7.26211008,92.89,0.279197185001674,-0.620100552532669,-0.17328583998889,0.401824604937944,-0.747552272002491,2.3733259005466,1.46755148879125,2.69790807678328,-0.413779237206906,1.30047083892632,-0.445063899021983,0.399186498027273,-0.115004969648216,-0.431366014939128,0.262556141428176,-0.79104243333629,-0.179001518925788,-0.445314676194995,-0.300798102513722,-0.404855518582535,-0.209140208582619,-0.568893502163378,0.209632407033371,-0.389153772532221,-0.543504469269841,-0.360499014755385,-0.430449749558805
1112200,1,1121,FALEME RIVIERE,GOURBASSY,ML,13.23,-11.38,15000.0,-999.0,1981.0,1990.0,10.0,71.68674699,1954.0,1990.0,37.0,0.0,1954,1990,37,57.429,1.811080944,120.7387296,70.73,-0.216830085071985,-0.280992497612933,-0.332401261596816,-0.122830445456013,-0.396889232061516,2.29323591968359,1.83014455940353,3.40016277695171,-0.454778632526904,1.3196253806351,-0.279625466983647,0.01647043703486,-0.534548185368712,-0.397633868051009,1.07908502443177,0.763428264695185,1.03060418875372,-0.44266874052522,0.290249789865109,-0.0174135247259138,0.782748748359775,-0.379732961069138,-0.0920638843440758,-0.145173521497358,-1.37847618639308,-1.33825927632362,-0.282711807404888
1112300,1,1121,SENEGAL FLEUVE,GALOUGO,ML,13.83,-11.13,127000.0,69.0,1981.0,1990.0,10.0,70.01642935,1905.0,1990.0,86.0,35.01945525,1905,1990,86,189.209,5.966895024,46.98342539,70.73,0.258191122421885,-0.624777850846008,-0.17229016442462,0.38770625102874,-0.738220808326518,2.09134872264021,1.36722970991286,2.51316223611129,-0.406552149989282,1.30369807090166,-0.44133363316648,0.404868154238771,-0.111305574241357,-0.431033369012238,0.27122489180837,-0.76654747563291,-0.162822054727287,-0.445216424203508,-0.288216380886844,-0.399334452474354,-0.190058110920893,-0.563409708128661,0.209538050206342,-0.379974069515701,-0.552303083914338,-0.372486595931752,-0.432974962534084
1112320,1,1121,BAKOYE,OUALIA,ML,13.36,-9.23,84400.0,-999.0,1981.0,1990.0,10.0,70.01642935,1951.0,1990.0,40.0,29.20168067,1951,1990,40,31.979,1.008489744,11.94893062,92.68,0.67350972940057,-0.636392552577076,-0.239466322369561,-0.165561996621204,-0.740682276333781,0.709125988054929,1.2198275162365,1.56084525934699,-0.430219606126956,1.32189538278725,-0.62423208685546,0.227485943073422,-0.192987494822222,-0.446980542558702,0.338156506964884,-0.837995707077732,-0.791228395437952,-0.431776124109779,-0.578694818621812,-0.928184948645939,-0.119127445110572,-0.782559115493938,0.221833995280417,-0.77116497033503,-0.715367005850233,-0.496425209047717,-0.499235836934883
1112330,1,1121,BAOULE,SIRAMAKANA,ML,13.34,-9.53,58000.0,-999.0,1981.0,1990.0,10.0,73.35706462,1972.0,1990.0,19.0,60.96491228,1972,1990,19,8.805,0.27767448,4.787491034,93.5,0.504668131486044,-0.624088626787242,-0.257461716879353,-0.122804117523315,-0.572802466150908,1.36070709415628,1.69739457153363,2.22889931591402,-0.39669703105616,1.32141801103127,-0.424853446964545,-0.143232328767867,-0.473185027662373,-0.432630103095881,0.486227376039979,-0.757769392176205,0.688157030727519,-0.453476745759644,0.0016393806686281,0.0083435856790638,0.0409543755124345,-0.374188460827395,-0.0427368635633678,0.190754064118369,-0.696994527075579,-0.589807848495058,-0.468003366684733
1112340,1,1121,BAKOYE,TOUKOTO,ML,13.45,-9.88,16000.0,-999.0,1987.0,1990.0,4.0,50.03422313,1952.0,1990.0,39.0,41.59482759,1952,1990,39,16.967,0.535071312,33.441957,95.12,0.504668131486044,-0.624088626787242,-0.257461716879353,-0.122804117523315,-0.572802466150908,1.36070709415628,1.69739457153363,2.22889931591402,-0.39669703105616,1.32141801103127,-0.424853446964545,-0.143232328767867,-0.473185027662373,-0.432630103095881,0.486227376039979,-0.757769392176205,0.688157030727519,-0.453476745759644,0.0016393806686281,0.0083435856790638,0.0409543755124345,-0.374188460827395,-0.0427368635633678,0.190754064118369,-0.696994527075579,-0.589807848495058,-0.468003366684733
1112350,1,1121,BAFING,DIBIA,ML,13.14,-10.48,33000.0,-999.0,1981.0,1990.0,10.0,81.68127054,1951.0,1990.0,40.0,20.37815126,1951,1990,40,186.401,5.878341936,178.1315738,78.46,-0.202532303620193,-0.522338734259688,-0.327392655127661,-0.0513482276148182,-0.27767629812381,2.6252315573365,1.70716726902608,3.9694013627681,-0.186915449645533,1.29215910048753,-0.314648016147262,-0.0852251808685099,-0.510672807002915,-0.422508652852876,0.667434839890914,0.350250507314408,0.619242479418123,-0.444348181847668,0.453931212048847,0.139685186828113,0.716151467277415,-0.169385953722687,-0.138125931543724,0.179436698301157,-0.85168015035318,-0.856716904635859,-0.29331900021107
1112480,1,1121,BAFING,DAKA SAYDOU,ML,12.15,-10.2,15500.0,-999.0,1981.0,1990.0,10.0,71.71412924,1952.0,1990.0,39.0,27.37068966,1952,1990,39,142.502,4.493943072,289.9318111,93.09,-0.610999431351565,-0.47538902700866,-0.356345700739793,-0.0939698596609966,-0.108825361891195,2.01054095421286,1.43048546675736,3.52293317586473,-0.0742053310051824,1.29256934184032,-0.224843405417451,-0.15969858228692,-0.605978937423723,-0.43193319474349,0.799781506962481,0.837592018360427,1.05006159059782,-0.439992852306585,0.839706576254649,0.485774238239124,1.10461026549335,0.0579385561888113,-0.210802288111824,0.445979312177712,-0.922134449995892,-1.01782319856412,-0.207692209078911
