"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
4152050,-9.52299893813641,-5.41750104324919,0.387944144990624,0.379280613311823,4.47406470402692,1.83958843485913,10.9141196641257,7.33199165690739,-55.1110566545857,-17.7200560013145,0.000113318033200432,6.54528220600438e-05,9.39447389300065e-05,6.0024016598806e-05,11.9586104985556,6.90732783601077,9.91411966412566,6.33441840447708
4152103,-1.1358953322897,0.309546093520511,0.32067738828157,0.483067308350929,2.89601755125249,1.23541397268494,1.7360501987849,1.38285738630772,-9.98876765976535,-1.30158891450207,0.000104628485817039,4.78838788483678e-05,6.7485505389413e-05,3.58154404909285e-05,NA,NA,NA,NA
4152110,-3.28491945346224,-18.346346776401,0.535863042101128,0.331043507801576,5.20936938921854,16.753523397286,1.0536155525435,11.9937494426342,-22.0335868433992,-554.119443179398,1.77411507909071e-05,8.7095199910541e-05,7.78408154567703e-06,6.1847135234872e-05,NA,NA,NA,NA
4152400,0.522616892739503,0.470533627557207,0.851035046364637,0.895946238543506,0.574056799739722,0.726679944264976,1.066090536585,1.41041461839908,0.631509814704706,0.696838570606657,9.78500603572095e-05,8.87534223318483e-05,4.75066418221429e-05,6.17029680588342e-05,NA,NA,NA,NA
4152460,0.743652901019324,0.803048155681512,0.865348349044429,0.918630146538228,1.19063117889679,0.87379271501371,1.10603075819387,0.872561006185496,0.631445560659628,0.82515244017825,0.000160071223776477,0.000110253460554317,0.000100493176435729,7.46791503578163e-05,0.598348716401774,0.412129145046392,0.375645051676628,0.279151821947532
4152551,0.386925061175684,0.66144740637921,0.853207511988033,0.941483870971209,1.4988471189993,0.722210619315031,1.32475282592119,0.815536504235903,0.193867369614624,0.800483413593682,0.000112173646820362,5.58055113183471e-05,6.719658702034e-05,3.33939918898337e-05,0.851547107101411,0.423638020787136,0.51011142907651,0.253504793633882
4152553,0.120830389935086,0.129704040573705,0.469018043097986,0.604140915468645,0.569545305279709,0.395606107606005,0.447093027264567,0.514800386413418,-0.00693953052823248,0.154536754995619,0.00043407895408127,0.000397753857926911,0.000241787669801508,0.00019240189848159,1.19155029915616,1.09183761144659,0.663709142255069,0.528144793794883
4152590,-0.08691348878315,0.86087275552336,0.159703035006618,0.866182485145968,0.737951177483889,1.10676589647032,0.396390187730257,1.0604769131075,-0.783000555076588,0.721297082364142,0.000182286808707321,7.20692927638936e-05,0.000125451453967567,4.57078167782996e-05,NA,NA,NA,NA
4203152,0.463394469001074,0.842872270600269,0.758529971508746,0.873107552494083,0.691819837216498,0.911290646736134,0.616255285026928,1.04494380208611,0.441151071275015,0.757664818976736,0.000628640070373706,0.000413964483920331,0.000382964546326685,0.00025998568346486,NA,NA,NA,NA
4203501,0.131767823665469,0.802426373935113,0.767881377364538,0.914842299342324,0.40811825523094,0.842191922105682,0.399094039373979,1.08508786191767,0.157983650998641,0.82499835652735,0.000772620255258516,0.000352230444760999,0.000476277532126697,0.000247603693066256,NA,NA,NA,NA
4203530,0.487033450344866,0.730475286494334,0.900637382851433,0.934229183377754,0.714709487301155,0.789357071679352,0.722504148750257,1.04933610698954,0.646209529643764,0.834051326475075,0.00055812940976204,0.000382251092148028,0.000348495899313501,0.000256579138256176,NA,NA,NA,NA
4204050,0.305485296347149,0.858801697391998,0.511229251011293,0.953646655481405,0.679321840924331,0.907358774348862,0.563309529045047,1.10801174006943,0.0592714563793565,0.895532606125263,0.00152350814107263,0.000507695131471836,0.000963686252307692,0.000368514059448696,NA,NA,NA,NA
4206600,0.00954643713006487,0.776694496974531,0.467162449352803,0.958512910164562,1.58832208430861,1.08728747812593,1.71928975048177,1.27509434191671,-1.36181138277683,0.866215244065178,0.00232709822601281,0.000553854163459921,0.0016204701964977,0.000405008322233933,NA,NA,NA,NA
4206601,0.359355406460308,0.961844411479548,0.470951829097815,0.99361223814812,1.22463624658259,0.958591658186621,1.19926735225112,1.00469059067302,-0.479246695918487,0.985678498716946,0.00209879232599999,0.000206511117470841,0.00150183912854694,0.000143674286591424,NA,NA,NA,NA
4207160,0.153771960010242,0.349765340780276,0.592456441964042,0.733368460490168,0.322869479142342,1.11191630349604,0.697503055071069,1.58239803845909,0.163682775415204,-0.0304329503614424,0.000351002235090353,0.000389613709411879,0.000199089974634146,0.000302553637496049,0.817013939418294,0.906888332195473,0.463413813968054,0.704242066129154
4207190,0.140144735129748,0.342661538791653,0.456779753252807,0.870288143604572,0.542034345880039,0.424461834765269,0.515716715449019,0.710130189132346,-0.136499503339769,0.437589436946142,0.00188245318159815,0.00132423875276338,0.00121298332249322,0.000851304369495862,0.888185273489137,0.624806699197441,0.57231379487046,0.40166523748615
4207305,0.171547351615131,0.267582813046988,0.443336693693176,0.553287136167567,0.501516204659351,0.458206762805346,0.640218688111706,0.787878129780269,0.0155806683158731,0.235294382634578,0.000393200959043048,0.000346554579248288,0.000258644154404145,0.000254949391980389,NA,NA,NA,NA
4207310,0.373989637442514,0.887886385637826,0.621255528463424,0.947351550225363,0.57107540768019,0.945246226795494,0.738609855814948,1.0843576478587,0.267130591461033,0.884463708709424,0.000677549085882217,0.000269021306878136,0.00045345975,0.00020372157298264,NA,NA,NA,NA
4207830,0.148129649893831,0.499172836138189,0.656246481996832,0.936350684371473,0.425730746992678,0.520200496395601,0.472997687575411,0.871279181859119,0.0758633193528256,0.685575115522179,0.00172572532232529,0.00100661181250058,0.00105429678845197,0.000668334125336749,0.922407347948099,0.5380381920402,0.563526009617694,0.357227364123294
