"names","importance"
"pcr",0.15437814231819
"precipitation",0.00763357461076494
"temperature",0.0085594261091861
"referencePotET",0.00862465962785918
"desalinationAbstraction",0.000628937115941815
"surfaceWaterInf",0.00203254175742414
"snowCoverSWE",0.0041397475364851
"directRunoff",0.0125361613148633
"snowFreeWater",0.00432181698191751
"industryWaterWithdrawal",0.00254870999514571
"interflowTotal",0.0176810503491309
"totalGroundwaterAbstraction",0.0035678026021235
"domesticWaterWithdrawal",0.0030795331591841
"surfaceWaterAbstraction",0.00333739513490218
"storUppTotal",0.00958735994183357
"totalEvaporation",0.0194722179279875
"livestockWaterWithdrawal",0.00431498778076301
"fossilGroundwaterAbstraction",0.00329429445674784
"storGroundwater",0.00455729805127863
"gwRecharge",0.0684488135501382
"baseflow",0.0059779413524009
"irrigationWaterWithdrawal",0.00498629373744962
"surfaceWaterStorage",0.00962346417407645
"storLowTotal",0.031377117788639
"nonIrrWaterConsumption",0.00292046183855949
"airEntry1",0.0119328659059017
"airEntry2",0.0103985604434796
"aqThick",0.0095162368900686
"area_pcr",0.00799004445643499
"aridityIdx",0.119673720395105
"bankArea",0.0126487744917655
"bankDepth",0.0231663719236783
"bankWidth",0.031699141310127
"demAverage",0.00726775787045508
"forestFraction",0.0275120918887992
"groundwaterDepth",0.0171539773301162
"KSat1",0.00412195019641784
"KSat2",0.00468783078203206
"kSatAquifer",0.00610340988897364
"percolationImp",0.00413835354268103
"poreSize1",0.00490505291377487
"poreSize2",0.00448377645035957
"recessionCoeff",0.00857472294017307
"resWC1",0.0039647804301872
"resWC2",0.00585905689685068
"satWC1",0.00633744839160641
"satWC2",0.00660095527933007
"slopeLength",0.00681962928460625
"specificYield",0.0056331155334199
"storage2",0.00403733315866476
"storDepth1",0.00428523616241913
"tanSlope",0.0204618820958101
