"names","importance"
"precipitation",0.110617654786288
"temperature",0.070352343017134
"referencePotET",0.0967369249453682
"airEntry1",0.0101395197635842
"airEntry2",0.0102972715760183
"aqThick",0.0133233983701717
"area_pcr",0.00746421435547209
"aridityIdx",0.188148514573784
"bankArea",0.0194952129455225
"bankDepth",0.0241684405769289
"bankWidth",0.0751062177140821
"demAverage",0.0102521628035387
"forestFraction",0.0214128480707688
"groundwaterDepth",0.0213698907302386
"KSat1",0.00785700889177834
"KSat2",0.00687561931165448
"kSatAquifer",0.00593340052618746
"percolationImp",0.00667894324509325
"poreSize1",0.0100346353320025
"poreSize2",0.00576471413825964
"recessionCoeff",0.0119319525726044
"resWC1",0.00584892881180098
"resWC2",0.00724700897052806
"satWC1",0.00950257319509226
"satWC2",0.00659820684653291
"slopeLength",0.0151789029287637
"specificYield",0.00829345347347817
"storage2",0.0053756446115515
"storDepth1",0.00775406113162706
"tanSlope",0.0194032446696648
