"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
5709112,0.338926380573543,0.599435824657904,0.830581325850139,0.903622424469699,0.498638627301552,0.788773080947912,1.47398262873755,1.4062757817895,0.557104233455584,0.776488273360283,0.000571665932602327,0.000406108149045542,0.000292740353811663,0.000161426614802259,NA,NA,NA,NA
5868100,0.639146709529856,0.55933002493317,0.691141588542368,0.644306268238041,1.01143689110964,0.970975870729945,0.813745398884364,0.741485791433494,0.0465249467494955,-0.324537749051564,0.000789863129014217,0.000930956404655794,0.000632932107856498,0.000743945759616903,0.317287212543678,0.373964237324977,0.254248181557502,0.298842252134405
6113050,0.820242566269839,0.633338490464986,0.923160672135503,0.924616516012953,0.786061640330781,0.554953592710364,0.967392305815827,0.677106717609781,0.844680517617072,0.780428572732144,0.000221794752817452,0.000263709765557072,0.000154804026643051,0.000158681905583697,NA,NA,NA,NA
6116200,0.694872097061271,0.503456902303115,0.922637103241678,0.855006512520972,0.722140632651014,0.431844911496748,1.01002439029262,0.749796620526623,0.835346385589144,0.622207540227291,0.000143579608088463,0.000217487235086853,7.51372619614671e-05,9.05166134713482e-05,NA,NA,NA,NA
6123400,-1.18985293356997,0.673513238719619,0.840992175044289,0.851477654570111,2.03432035356713,0.753421255829927,2.8399467339259,1.15469534657195,-5.82257767864417,0.673565233314103,0.00190868052036067,0.00041750069238045,0.00164484671347751,0.000323375121117665,NA,NA,NA,NA
6125100,0.618583426372772,0.86990309409367,0.939931489791709,0.952799429940563,0.958883841060655,0.890734520939028,0.935056658758044,0.78929541167426,0.479897975531864,0.860341221228908,0.000513731307229134,0.000266210928840806,0.000447224815384614,0.000209413355144211,NA,NA,NA,NA
6140401,-0.06784705406664,0.702314593151038,0.778273575670571,0.971758518566327,1.02814095293706,1.18302001556539,2.03296032768493,1.24149068821093,-1.9709445732248,0.770598351262638,0.000587031734150819,0.000163122012901672,0.000543073992011482,0.000126255024550344,NA,NA,NA,NA
6212400,-0.346439972959254,0.702474045769184,0.964857249054548,0.965453187626489,0.028047521507693,0.349883253228355,0.0286582286061373,0.425841208556073,-0.53675578726837,0.864729444905199,0.000732212944118237,0.00021723840704077,0.000463886525229358,0.000126731004179392,NA,NA,NA,NA
6212430,0.232873837613508,0.684610033766566,0.856646690606156,0.850689880654591,1.55320695031886,1.297876673616,1.63994509068007,1.33250053992493,0.0106590102983977,0.570533539773635,0.000279596280968565,0.000184214162206876,0.00020275649946346,0.00012838585033529,NA,NA,NA,NA
6213650,0.0126257047671249,0.470148025669603,0.80422560489112,0.489693174268496,3.42686183201132,2.1903664263949,1.71901114846313,1.54870752032442,-0.720687782522458,0.0979829856313179,0.000106576769887122,7.71647370850238e-05,8.18607475861268e-05,6.45738793965561e-05,NA,NA,NA,NA
6213700,0.333305757691322,0.598356107696206,0.797939748917059,0.775602868429327,1.68594447471166,1.07805771177148,1.31115006584009,1.18072902104878,-0.0285382334836244,0.375612661630753,0.000168688007333814,0.000131431974327774,0.000116396401795609,8.89764158607481e-05,NA,NA,NA,NA
6217110,-0.126907539747602,0.731398333998821,0.853573742748507,0.97480379052032,2.18771755853385,1.53210494315329,2.40057257344967,1.70031644599783,0.0113260694056405,0.927933880730993,0.000203078054980663,5.48279517437712e-05,0.00012348175327173,2.92735280196548e-05,NA,NA,NA,NA
6221101,0.710543340384282,0.980586462783367,0.856644120563965,0.981348216212971,0.889345817677894,1.0074468694811,1.25955270516217,1.04472482097035,0.668345568003889,0.962798649949661,0.000495802826242159,0.000166052510462441,0.000387562863718427,0.000126603894793668,NA,NA,NA,NA
6221102,0.56413589000048,0.858970559905755,0.880151385108081,0.962131716959274,0.989156348101091,0.859790610765437,1.46356881621216,1.06233573377968,0.53824316632843,0.915970471209559,0.0007618656242276,0.000325003229721517,0.000603754672627056,0.00021320132275671,NA,NA,NA,NA
6226800,0.0251488163240424,0.513472724524749,0.844564969003961,0.795352421101128,1.6468455141162,1.05694804806342,1.69448631528394,1.41640010299096,-0.710415517450368,0.266043194722554,0.00032584659822777,0.000213450722050459,0.000251188720450154,0.000157487118376157,NA,NA,NA,NA
6227510,-3.86831286594977,-1.42862959205107,0.413410058011102,0.511699069517887,5.31473067259193,3.04715461470409,2.70027705400363,2.254204488243,-34.0080187220015,-10.2002761992577,0.00031443459754826,0.000177852889681453,0.000205624777988219,0.000115573567536483,NA,NA,NA,NA
6232900,0.0437428272036909,0.617545897961424,0.933009267215973,0.940700962482451,1.6812857266683,1.08178303919162,1.88330169267428,1.39822977688028,-0.0873261279191315,0.73502942559466,0.0010585959166822,0.000522575597797101,0.000761421238493724,0.000396122893482113,NA,NA,NA,NA
6232901,0.0664899692484783,0.696619283398193,0.924411967082086,0.950278721584927,1.5668864496313,1.01663388699509,1.73994689612072,1.30101309750876,-0.0792778025442775,0.813188751007159,0.00112450900995799,0.000467840515011783,0.000812213064073479,0.000375855592314547,NA,NA,NA,NA
6233203,-4.3547870516752,-5.65306096660516,0.125378102302883,0.350553622866375,4.44396705363185,3.27455459972008,4.92488238552096,7.20073254281744,-46.5427929236688,-75.6591725200743,0.000794300238977681,0.001008612651119,0.000619749827552523,0.000943280285816113,NA,NA,NA,NA
6233315,0.137459343560557,0.840566619045048,0.449748881793679,0.963211187866796,0.576897427605047,0.846401771051774,0.487960641984962,0.978247521324616,-1.52623634650211,0.911041044746618,0.000626766259051094,0.000117615201284554,0.000530960257377169,9.40410074495272e-05,0.621934817198447,0.116708561851132,0.526867338250558,0.0933160902213014
6233401,0.055571177831395,0.108811288218497,0.485925609600007,0.450934072729402,1.76000750591025,1.70194115740319,0.776254805106929,0.995252467933841,-1.82558030093971,-1.36187457473625,0.000868272032005175,0.000793835288203366,0.000688279379622221,0.000653033173835276,0.568018789561206,0.519322681020733,0.450268585975394,0.427210711933902
6233650,0.176998495783334,0.1612087460362,0.275126687573806,0.269940220096365,1.15288944420014,1.41301509518476,0.641510146967389,0.99857991452966,-1.65765061615126,-1.23376755700526,0.000865959025906119,0.000793902902052587,0.000733550289055995,0.000637529542784761,0.595580146036969,0.546022146774084,0.504513464507493,0.438473330533533
