"datetime","obs","pcr","precipitation","temperature","referencePotET","desalinationAbstraction","surfaceWaterInf","snowCoverSWE","directRunoff","snowFreeWater","industryWaterWithdrawal","interflowTotal","totalGroundwaterAbstraction","domesticWaterWithdrawal","surfaceWaterAbstraction","storUppTotal","totalEvaporation","livestockWaterWithdrawal","fossilGroundwaterAbstraction","storGroundwater","gwRecharge","baseflow","irrigationWaterWithdrawal","surfaceWaterStorage","storLowTotal","nonIrrWaterConsumption","airEntry1","airEntry2","aqThick","area_pcr","aridityIdx","bankArea","bankDepth","bankWidth","demAverage","forestFraction","groundwaterDepth","KSat1","KSat2","kSatAquifer","percolationImp","poreSize1","poreSize2","recessionCoeff","resWC1","resWC2","satWC1","satWC2","slopeLength","specificYield","storage2","storDepth1","tanSlope"
"1979-01-01",0.000131904793996018,9.30607443712667e-05,0.467629719460121,0.976777139662379,1.240587409989,0,0,0,-0.0301027697680165,0,-1.7997034126801,-0.393364018708032,-0.0116689969837551,-1.63180554077285,-1.65326513398132,0.0452869050110687,0.805072985789261,1.03492066287786,-0.121727287709889,-0.599204109481174,-0.169816111157241,-0.780293889145238,0,-0.377562382850389,-0.388154892512315,-1.57816513718679,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-02-01",0.000293341828763976,0.000104829529790167,0.501774092710432,0.738858004546655,0.122165382192767,0,0,0,0.128354858765591,0,-1.26191400780317,-0.36911988182582,0.37193448717063,-1.46081169415564,-1.46737820082552,0.277331328896806,0.608126952513769,1.65880284335413,-0.121727287709889,-0.623245360221353,-0.171102828570002,-0.793130631042187,0,-0.342574559757818,-0.365691651850724,-1.38002656865945,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-03-01",0.000162297197120539,0.000145332148874253,0.177645411933862,0.591239807313566,-0.410670408210629,0,0,0,0.15187138615926,0,-1.7997034126801,-0.246634775156454,-0.117096395514321,-1.6726195221889,-1.69910209168571,0.365464624639591,0.540056391010477,0.715515222721484,0.271049296633685,-0.649077853690825,-0.185569810291476,-0.807667401889271,0,-0.23757100805995,-0.187988524341249,-1.62760994746298,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-04-01",1.43536835656303e-05,0.000113607596875479,-0.52492701201957,0.157583535199701,0.0251727749086266,0,0,0,-0.196119430311381,0,-1.63239108949635,-0.306609979285743,-0.0642999431889677,-1.6780323937068,-1.71284258131144,-0.499687321346816,-0.629293078468396,0.423339641236386,-0.121727287709889,-0.675926277723628,-0.174135925639391,-0.822502744129031,0,-0.325094434134829,-0.288752454303002,-1.63786263919374,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-05-01",0.000219945719099403,0.000116232194823097,0.498913390572859,-0.90563169698253,-1.76445566292546,0,0,0,-0.0835985173017421,0,-1.7997034126801,-0.284614530875038,-0.399192775815127,-1.82410257248923,-1.87577772278778,0.793715205549476,0.204698112403901,-0.48042618555365,-0.121727287709889,-0.700972048257779,-0.171382321897111,-0.835815981595516,0,-0.289238377236921,-0.29429147298145,-1.8114641892231,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-06-01",1.27833358860469e-05,0.000129412528718027,-0.640759688490503,-1.46894593586606,-1.51912439927286,0,0,0,-0.217278025504248,0,-1.63239108949635,-0.274061440145936,-0.938271752548298,-1.86162230623839,-1.89576229819794,-0.0629703105875047,-0.176306561773374,-0.996107976066429,-0.121727287709889,-0.725690627383546,-0.170596913121062,-0.848852583526746,0,-0.249723026156311,-0.314347272933348,-1.85971692119353,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-07-01",1.31450451830296e-06,8.29637616786644e-05,-0.644972106669647,-1.62558605777908,-1.16728707699049,0,0,0,-0.21856606013772,0,-1.7997034126801,-0.394631974830067,-1.12665727610286,-1.93476769813981,-1.97422427846089,-0.637480597435016,-0.847483097497968,-1.32332176868549,-0.121727287709889,-0.750169828412961,-0.170121433733778,-0.861677748165611,0,-0.406347026307192,-0.362899947299057,-1.94478331213106,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-08-01",0,7.93996017766886e-05,-0.643427840188462,-0.866515644742317,-0.548131172863966,0,0,0,-0.21856606013772,0,-1.7997034126801,-0.402399417503163,-0.850330888791112,-1.85620144021926,-1.89121221378114,-0.648487662170746,-0.851880130260576,-0.739801216661983,-0.121727287709889,-0.774916934462128,-0.169990110905157,-0.874602233492245,0,-0.4191986648281,-0.366393408508097,-1.85061461584361,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-09-01",0,7.79086536988819e-05,-0.627368529548884,-0.0592706263350875,0.554549022718389,0,0,0,-0.216881878648863,0,-1.63239108949635,-0.405812916481337,-0.273079695310282,-1.69007643390963,-1.71641767865465,-0.653338223541638,-0.830633562899927,0.325281671827465,-0.121727287709889,-0.799167920104345,-0.169932920772774,-0.887233875122307,0,-0.425073557296599,-0.368191042193035,-1.65257641868336,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
"1979-10-01",2.82309695206004e-07,7.79042426098943e-05,-0.509421706685537,0.76906563210758,1.34601064677104,0,0,0,-0.195647086283356,0,-1.7997034126801,-0.407490116456805,-0.0324127496024996,-1.6436212245301,-1.6685485977781,-0.600926622259253,-0.669168682918304,0.899341632541074,2.93088643182528,-0.823332208705448,-0.169912524527467,-0.899791300434761,0,-0.425152179571045,-0.369200943241447,-1.59387159881947,0.310634679811698,-0.0473828501158669,-0.206139238165503,-0.0829267023192284,-1.09885952427349,-0.436183594153374,-0.704258378028137,-0.70667523006158,-0.424806000830242,0.54551983839672,-0.421563353341385,0.45906241348691,-0.222129627066733,-0.312028161909293,0.095010228752363,-0.978808164542403,-0.930980658623169,-0.461858804394941,-0.539557789339948,-0.776599438433558,-0.406828713043609,-0.797695196445852,2.41345319571315,0.524429866914095,-0.454313416997768,-0.180530817971015,-0.633842996194856
