"names","importance"
"precipitation",0.0976934792442723
"temperature",0.0706319517528388
"referencePotET",0.0972335626838903
"airEntry1",0.010301426612687
"airEntry2",0.0121747332929862
"aqThick",0.0132987107678997
"area_pcr",0.0061970157396516
"aridityIdx",0.175661319492028
"bankArea",0.0204652446246557
"bankDepth",0.0528963490545426
"bankWidth",0.0419998477864413
"demAverage",0.0117340233470856
"forestFraction",0.0187874252894802
"groundwaterDepth",0.0239194725666408
"KSat1",0.007207423432245
"KSat2",0.00755486421663655
"kSatAquifer",0.00665367934940412
"percolationImp",0.0069327965558073
"poreSize1",0.00785532632597615
"poreSize2",0.00607460746033229
"recessionCoeff",0.00897860185230747
"resWC1",0.00609051470288787
"resWC2",0.00842349565235231
"satWC1",0.00989110003694363
"satWC2",0.00749571207359578
"slopeLength",0.0133465800520952
"specificYield",0.00873016841495039
"storage2",0.00538611892160539
"storDepth1",0.00626488096545555
"tanSlope",0.0207804989752367
