"names","importance"
"pcr",0.182047322554066
"precipitation",0.00761889763366995
"temperature",0.00936212492758484
"referencePotET",0.0103038904655798
"desalinationAbstraction",0.000732926335636588
"surfaceWaterInf",0.00217154230957129
"snowCoverSWE",0.00411068454036217
"directRunoff",0.0117717475834997
"snowFreeWater",0.00420437932742198
"industryWaterWithdrawal",0.00228323070541503
"interflowTotal",0.0166185956526685
"totalGroundwaterAbstraction",0.00420176377619226
"domesticWaterWithdrawal",0.00364875594771623
"surfaceWaterAbstraction",0.00383151946504351
"storUppTotal",0.00983523686468604
"totalEvaporation",0.0187751987320131
"livestockWaterWithdrawal",0.00420570709401899
"fossilGroundwaterAbstraction",0.00324194153201118
"storGroundwater",0.00454255100801062
"gwRecharge",0.0741854019083555
"baseflow",0.00573041034807579
"irrigationWaterWithdrawal",0.00387269337492991
"surfaceWaterStorage",0.00928376315300663
"storLowTotal",0.0289189191446889
"nonIrrWaterConsumption",0.00343132651689994
"airEntry1",0.0101401047143802
"airEntry2",0.0109336095482543
"aqThick",0.00886344811773317
"area_pcr",0.00793664636974392
"aridityIdx",0.129203874385119
"bankArea",0.0186901078478879
"bankDepth",0.038113106618772
"bankWidth",0.0224128914299758
"demAverage",0.00888846697689528
"forestFraction",0.0243042704579934
"groundwaterDepth",0.0164577993500176
"KSat1",0.0045318295635797
"KSat2",0.00431169913528213
"kSatAquifer",0.00470028331869366
"percolationImp",0.00404324738060454
"poreSize1",0.00513831559669394
"poreSize2",0.00422179425798649
"recessionCoeff",0.00744619438504803
"resWC1",0.00396505225970253
"resWC2",0.00495832691785032
"satWC1",0.00806144077321734
"satWC2",0.00505599934936376
"slopeLength",0.00782555815599177
"specificYield",0.00594931335686377
"storage2",0.00375374306746788
"storDepth1",0.00373064402095758
"tanSlope",0.0151806686672802
